Meet Meeting 
Mon, Aug 19, 2024

0:00 - Jorge Lewis Oh, I see. Place.
1:39:25 - Jorge Lewis I guess that's one of the benefits. That sounded very nice actually. A junior developer, all they're trying to do is to get it to work. And that's all you're trying to do in a business world. You need it to work. You need it to accomplish what it needs to do. That's it.

1:39:54 - Jonas Lindberg I feel like you're right, but the problem is juniors don't know what is needed. They usually have the wrong perception of what is needed to make it work and end up working on things that are not relevant.

1:40:11 - Jorge Lewis Yeah. For them, what's needed is just whatever's in their head and it works great if it's their portfolio website, but yeah.

1:40:19 - Speaker 4 that are hundreds of lines long aren't necessarily less readable. Beginners are just focused on getting their web page or application to work. Once you've been in the software development industry, especially if you've been working for larger companies, you get this mentality that...

1:40:37 - Jorge Lewis Why was there an electric scooter?

1:40:39 - Jorge Lewis Industry, especially if you've been working for a large...

1:40:42 - Jorge Lewis What?

1:40:43 - Jonas Lindberg Oh no, it's not electric. That's not electric. That's just...

1:40:52 - Jonas Lindberg It's kind of a given that you're gonna make the solution. What's the next challenge? You can do it's make this solution work plus make it as polished as you possibly can and Hopefully later down the line when people talk about that project, they'll be like that code man.

1:41:10 - Jonas Lindberg That was something else I As you know I think in my previous company I was like working for large part converting a legacy code old 20 into from Visual Basic to new C sharp laser amazing everything you know yeah that code base was something else yeah There were comments in both English and Norwegian, and most of them weren't explaining why anything was done. It was just like, this line does this. Thank you. Yeah, I could read that, but why?

1:41:54 - Jorge Lewis Comments is a whole topic of itself.

1:41:58 - Unidentified Speaker Yeah.

1:42:01 - Jorge Lewis He brings a good point that I think about it. No one gets praised for good code. When have you gotten praised for good code?

1:42:12 - Jonas Lindberg The thing is, I think if I code good code, if I learn how to code good code, just to play devil's advocate, what happens is the next time I'm coding something similar or like what I learned from that, I can apply to a lot of scenarios and therefore move faster. I can move faster than B was has name, whatever, is because I have just like gone into the deep dive on so many topics that I know where I should prioritize my time where I shouldn't. And I already know, like conceptually, how I should be structuring things and where I should be putting my focus, where And I know the implementation techniques fully. So all I'm thinking about is the business logic and like, yeah, just states. I'm not thinking about implementation details at all.

1:43:04 - Jorge Lewis Yeah. And that's exactly where my statement of how the experience of a programmer affects the whole statement. Cause if you're building code, that's just like just terrible. It could either be because you're trying to do it fast or it's because you don't know better. And if it's because you don't know better, then you have to be like, okay, if I don't know better, is the better solution, so for example, the try-catch.

1:43:34 - Jorge Lewis Why do senior engineers tell juniors not to use a try-catch statement? If at the end of the day, it makes the code ship faster.

1:43:48 - Jorge Lewis Because in the long term they'll become a better fast-removing developer if they don't try catch Yeah, I when when he Like when I removed his try catches, it's not like I removed them and that's it. I had to I had to catch the error somewhere but there's a proper way to catch the errors that not only allows you to move faster in the future, but that's also more, like it's just more efficient in the longterm. It's easier to read for developers. There's like, I don't want to go into the specifics of like, Oh, when you use proper error catching and typing, you can, you know, blah, blah, blah. Like that, that part's obvious, but I feel like I'm trying to apply a general statement where it's like, if you learn, and it's exactly what he said, if you learn the best practices and kind of, how to make better code, you apply that in the future to be faster. It's similar with, if you learn how to properly catch an error from Superbase, you'll have to learn it once and you can apply it every single time.

1:44:49 - Jonas Lindberg I think where the problem comes in is when you're trying to put glazing on a cape, which you're only making once. If you're improving codes on a code base, that's totally irrelevant to every other project. It's like a piece of code you're only ever going to code on this project. And the thing you're optimizing and making pretty is something that's something How should I put it? That won't translate moving forwards. That's when it's a problem. That's when it's not worth it. But if it's a problem like you don't know how to handle errors in TypeScript, then you should learn how to handle errors in TypeScript because it's just a thing you know, and when you know it, you know it. But if it's like, you have this function and this function could be translated into a class, which could be used as a factory hair and hair and hair. That's not useful because that's just translating it into something you think is prettier. You already know how to implement both patterns and everything, but it's not useful. It doesn't speed you up. It doesn't teach you anything for the long term.

1:46:01 - Jorge Lewis It's only like, I wonder how different our perspective on programming is. Compared to people that went to computer science that took degrees because from what I know is they learn a lot of theory and they learn some practical stuff like they might learn some C++ to learn an algorithm. They do algorithms in their own code, maybe just JavaScript. They learn things like classes and inheritance all through theory. I learned that stuff in my code. So it's just, I'm, I feel like we're so out of sync with these guys, like with the general population of programmers where they learn things the formal way. So maybe it's just tough to see, see it from their eyes and

1:46:55 - Jonas Lindberg I think, like, because they've learned it from theory, they could go, hey, this file, the functions in this file should be part of a class, they shouldn't be functions. Meanwhile, like, an actual problem that they should be focusing on takes is, I don't know how to handle errors. Let's learn how to handle errors. That's just like a straight up objectively better thing like that's going to help you long term and that you're always going to apply compared to an opinion piece on what's theoretically better.

1:47:27 - Jorge Lewis Yeah, like, for example, for me, I've I, I don't remember learning classes. The only way the only reason I know classes is because I know of the concept of what a class is, which is it's just groups, properties, and functions together. And it's just a more compact way. I don't know. I'm just getting back to my point of I'm trying to view the code how they see it, which is so rigid. It has to be this way.

1:48:08 - Jonas Lindberg Not even it has to be this way, just I think it would be a better practice to do it this way, even though the other way already works and is in place and everyone understands it. I think it would be better practice if we put this AI file, made it a class, added the properties here that we actually just store in states for now, like just converting a thing that works into another thing that works, that they deem as prettier.

1:48:50 - Jorge Lewis It also goes down, like going down that rabbit hole, it's just like, The prettiest thing is what everybody understands the most.

1:49:03 - Jorge Lewis Like if everybody understands, like if your company or if you're like, usually for us, at least for small agencies, there's a style that people use or that the company uses. And for us, we have our style. We can't, we maybe can't define it in words, but we do definitely have it. And if we just keep that style consistent, that's the most efficient way to go.

1:49:26 - Jonas Lindberg Yeah, that's the whole argument for why formatters and keeping code style is important because formatters allow coders to code in any style they prefer. But when it's formatted, the look will be consistent. As you scroll through files, your eyes will be better trained to catch and interpret what's on your screen.

1:49:49 - Jorge Lewis Yeah. So I mentioned this earlier, but I couldn't pin it down. But what we should be focusing on here is not, I think, the code aspect because, or at least for us, have you had a developer trying to make their code perfect when programming? For me, I've only noticed that when design, like architecting a solution, designing a solution.

1:50:22 - Jonas Lindberg For me, I've only noticed that when I already have the solution and I'm like, but these two functions could be one function and the parameter that I'm passing in here could be a property.

1:50:36 - Jorge Lewis No, no, exactly. Like that's what I do as well. Like for the rest thing, everything was like its own thing. And at the end of it, I was like, Oh, let's just make this a class. It was just, it was done within five minutes.

1:50:49 - Jorge Lewis So, so I do clean up my code. I don't like, it's just.

1:50:56 - Jorge Lewis It's so, the whole topic is so...

1:51:00 - Jonas Lindberg I think the problem is when you're trying to make the clean code first, like you afterwards saw, oh, this can be a class and then made it a class. If you're before that trying to plan, okay, this should be a class because I have properties. That's when the problem comes in because then you're taking a long time thinking about how it should be structured and so just implementing it and then formulating it afterwards.

1:51:24 - Jorge Lewis Yeah. And I could see university students going down that road because they learned, Oh, we need classes to make code. We need to make our code, our code using classes. So first let's start with what classes we need. But rather if you start from a functional first standpoint, it's like, what do we need? Okay. We're going to need this ID. We're going to need this, this, uh, post title, et cetera.

1:51:49 - Jonas Lindberg Should you even switch from classes or from functions to classes?

1:51:57 - Jonas Lindberg I don't think in any of our, like even Adapt, I don't think we have a single class. And classes are like kind of this dumb. I think structs are the ones that are being loved more so now, just like having proper objects. But all of that just comes down to opinion pieces, as I mentioned, like how you structure it shouldn't be the important thing.

1:52:24 - Jorge Lewis Yeah, it's just I feel like it's just every time you speak, it's getting into this one point of how experience does matter. Because if we told our junior developers to ship code as fast as possible, every single time, they would never learn how to handle errors. Yeah, it's like So it's that and that's what my life my whole programming journey has been it's been to ship as fast as possible because From making video games. I don't care about how good or how pretty my code is like never like So, but at what point did I learn?

1:53:00 - Jonas Lindberg Okay, I should be air checking and I I I think you kind of, I mean, like, just after having experience and having the goals set by yourself, while when you're creating five prior catches, you kind of realize, hmm, this can just error and I don't know what will happen. What will save me time in the long term and will be a thing that I just have to learn once that is how to handle layers properly so I don't suffer down the road and so I don't like or so that I just work more efficiently in general. So then we just look up the documentation. It's like the same with ShedCN. If like when we started with ShedCN, we wanted to make a landing page, The fastest way we could do it is just do it tailwind, draw tailwind, just YOLO. But we know that like, hey, ShadCN is going to be the thing we're going to be using. It's going to be helping us. It's going to be keeping things properly consistent with UI and everything. The benefits are worth it. And it's a thing to just learn once, then we apply it. That's when clean code does matter, if that makes sense. But that's not clean, that's making it readable. No, that's not making it readable, that's actually practical. Same with the error handling, that's not making it readable, that's the practical difference.

1:54:33 - Jorge Lewis It's a practical difference, but in the code it's...

1:54:43 - Jorge Lewis So who... So this statement, I came up with a statement because I, I guess I assumed it's the common notion. So I was, of course, when you, when you think of titles, you think you're trying to think of something, uh, like with, with, uh, conflict, I guess. So, which means that the Going with the grain would mean that making your code look pretty is, is the best way to go. But I don't think that's, that's how it is in the world. I think it's.

1:55:13 - Jonas Lindberg I think the term people use is clean because it's not about making it pretty, it's about keeping it readable and clean.

1:55:23 - Jorge Lewis But that's not like a big issue in this.

1:55:34 - Jorge Lewis Making it readable is not an issue because we have formatters and we have Like for me, the issue is people over engineering solutions or or designing solutions that just aren't what we need over engineering. So.

1:56:04 - Jonas Lindberg be like, that code man, that was something else. But what really matters was the outcome of the project and the users that you served. And hey, if you can serve those users just as well with a monolithic application rather than a microservices architecture, then why the hell not? So the This is just a reminder to remember why you're writing code. Is it because you really love code or is it because you want to create something that code allows you to? Maybe once you figure that out, you'll do like I'm trying to do and not spend so long obsessing over the tiny details that aren't actually important.

1:56:38 - Jonas Lindberg The last part is actually pretty interesting because I feel like my adventure with coding was I want to create games, so I'm going to learn how to code to make this thing for my game. Then I really liked the coding, so I coded more things for the game. And then, like, as I got into coding and started loving coding more than creating the thing, I got into, like, other parts of coding which are more technical, less visual, like CLI tools, whatever.

1:57:08 - Jorge Lewis But did you fall in love with the coding or with the things that coding brings, which is doing, like, you can make things happen with code?

1:57:23 - Jonas Lindberg It's still making things happen, but it's got less visual.

1:57:27 - Jorge Lewis But like, I don't think, and maybe, maybe there's people, maybe like our team, and this is like, we need to figure this out. It's like, do they validate, like, are they looking at the code from a perspective of like, oh, look how, look how good this code is. I go from this to this instead of just like, oh, I have the output.

1:57:51 - Jorge Lewis I don't know if I explained that very well.

1:57:57 - Jonas Lindberg I remember when we were going over the fact that our client is the one that owns the code we write, that was quite the reaction out of one of our developers. Because he values the code, not the product. The code he wrote, that's his hard work. The product that comes out of it, that's their product. But the code he wrote, that's his code. That's his baby.

1:58:25 - Jorge Lewis Yeah, and for me, it's easy to say. For me, my hard work is the things I've learned through that project. From all the projects I've made, what I take most of it is the learning, because I can scratch whatever I've made, make it again, better, faster. And in the back of my head, maybe there'll always be that, oh, I wasted all that time making that previous version. But it's like, did you really? I don't know.

1:58:54 - Jorge Lewis But at least this new version, it's fast, it's better.

1:58:58 - Unidentified Speaker Yeah.

1:59:01 - Jonas Lindberg All right.

1:59:04 - Jorge Lewis So I think, was this just a, I don't know, we were going to watch this one.

1:59:09 - Jorge Lewis Here.

1:59:11 - Jorge Lewis Grandpa. It's time for grandpa.

1:59:15 - Jonas Lindberg Grandpa?

1:59:17 - Jorge Lewis With the most clickbait title.

1:59:19 - Jonas Lindberg Hey, yo, it's this guy, continues to deliver.

1:59:25 - Jonas Lindberg We all say that code is bad, this code is terrible.

1:59:30 - Speaker 2 But what does it mean? And what should we do about it? That's our topic for today.

1:59:43 - Jonas Lindberg Hi, I'm Dave Farley, Continuous Delivery, and welcome to CICD.

1:59:49 - Jonas Lindberg Mr. Who?

1:59:50 - Jonas Lindberg Mr. TDD. He is a huge advocate of learning test-driven development and using it consistently throughout your coding as the foundation of how you think. I see. So I'm quite excited to see his opinion. If you haven't been here before, please do hit subscribe.

2:00:12 - Jonas Lindberg I hope you enjoy the content.

2:00:16 - Speaker 2 Today hit like as well. Bad code is probably a bad name for bad code, but at least colloquially, if not technically, we all know what we mean when we say it. That is not how I would have done it. Or if it's our code, that's bad. It's not how I do it now with the benefit of hindsight, bad code is code.

2:00:36 - Jorge Lewis This is just totally irrelevant, but one thing that I, I don't know if it's a language barrier. But some naming conventions, or not conventions, the naming of things I've seen are just so bad.

2:00:55 - Jorge Lewis Like they represent nothing of what they should be.

2:01:00 - Jorge Lewis So just keep that in your mind.

2:01:04 - Jorge Lewis Is not how I would have done it. Or, if it's our code that's bad, it's not how I'd do it now, with the benefit of hindsight. Bad code is code that is difficult, or at least unpleasant, to work on. In this episode, I want to explore what bad code really is, what's a sensible practical definition for good code, and what it takes to build good code and avoid traps in bad code based on some real-world examples. Fundamentally, bad code is defined, I think, by two things. Either it doesn't do what it should, or even if it does do what it should, it's too hard to change it when we need to change it. I'd argue that that's it. Everything else is changed.

2:01:47 - Jorge Lewis So if we use these two constraints, then the code I wrote for REST would be bad code because it's hard to change.

2:01:59 - Jonas Lindberg I disagree. If you wrote it in two days, you can change it completely in two days.

2:02:06 - Jorge Lewis By remaking it, you mean? Yeah. Yeah.

2:02:12 - Jonas Lindberg And I think coding in a way that's easy to change would be more harmful because it would be structured in a worse way than the recreation would be. And it would take probably more than four days to create it in a very easy to change way.

2:02:27 - Jorge Lewis Yeah. So for us, these small components where it takes days or even a week or even a couple weeks, then remaking things make more sense. But for, something that where you quote, it's going to take a couple of weeks or months, then remaking it doesn't make any sense. Like you want to design it properly, but I guess like it's just a whole different ballpark. It's you're, you're either going to, you're either dealing with something that you've never done before and that's why you're making it fast or you're, you're dealing with something that is going to last a thousand years.

2:03:10 - Jonas Lindberg Like the two prongs of programming what you're making will either be disregarded within a month or it'll last for 20 years. There is no in between.

2:03:21 - Jonas Lindberg Change it when we need to change it. I'd argue that that's it. Everything else is secondary to those two things. If it does what it's meant to, and it's easy to change, then it's good code. This is not about engineering as art, or over-engineering, or software developers being over-precious about the beauty in their code. This is practical, pragmatic stuff. It works, and it's easy to...

2:03:54 - Jorge Lewis Does it remind you of Cohen?

2:03:58 - Jorge Lewis That one sentence, the past five seconds.

2:04:01 - Jorge Lewis rewind it this is practical pragmatic stuff it works and it's easy to change these things have a direct bottom line impact on the product I don't know just just like I feel like I've heard this definition for good code and what it takes to build good code and avoid traps in bad code based on some real-world example.

2:04:24 - Jonas Lindberg I think the reason why it resonates, like, reminds me of Kuen is because it's trying to be technical from a completely non-technical perspective. Yeah, it's like Because writing good code takes effort, but effort is the product of our work. I feel like I'm hearing nothing, it's producing nothing, and it's going out as nothing.

2:04:56 - Speaker 2 Argue that that's it. Everything else is secondary to those two things.

2:05:00 - Jorge Lewis That line right there, like, and that's it. Everything else is secondary. That line, like... Do these guys take the same adjusts, Chrome Master, Black Belt?

2:05:13 - Jonas Lindberg It's easy to change.

2:05:14 - Jonas Lindberg This is not so much the effects of something as hard to change.

2:05:23 - Jorge Lewis Like hard to change, bro. Make it a microservice. Like then you're, you technically have good code.

2:05:29 - Unidentified Speaker Hmm.

2:05:34 - Jorge Lewis Like if you make microservices, then it's easy. What was his two conditions?

2:05:39 - Jonas Lindberg It's like, if you remember from the end of the other video, that one said, like, you shouldn't like, if it's a microservice or a monolith, it doesn't matter. But microservices are quite inherently difficult because you have to, structure in a way where it can be a microservice. Like, you know, the, the, for us with a depth, just having our Python API and the other thing, imagine having like another Python API for every single function that can be done. Yeah. Just to make it so that it's easy to interchange.

2:06:21 - Jorge Lewis So I'm saying bad code is good for, for most people, for most projects. When do I want to change my code? Like when, in what scenario do I want to change my code?

2:06:36 - Jonas Lindberg Yeah. So, so I guess in with his definition, bad code is good because I want things to be like, I don't need, Because or it's assuming that making bad code is fast.

2:07:06 - Jorge Lewis Like that's what it's assuming because making things that are hard to change is fast. Like doesn't do its job. Like that just, that doesn't, that just, that's not even code.

2:07:18 - Jonas Lindberg Like code is, I mean, I think he's just using the term bad and going, yeah, but code that doesn't do its job. Of course that's bad.

2:07:29 - Jorge Lewis I think this is actually from the other video as well. There's three of them.

2:07:36 - Jorge Lewis There's three of them and he pointed out two of them. I can't remember.

2:07:50 - Speaker 2 I'd argue that that's it. Everything else is secondary to those two things. If it does what it's meant to and it's easy to change, then it's good code. This is not about engineering as art or over-engineering or software developers being over-precious about the beauty in their code. This is practical, pragmatic stuff. It works and it's easy to change. These things have a direct bottom line impact on the productivity as well as quality of the systems that we build. If you want to go quickly and build lots of features, you don't get to do that by cutting corners and writing bad code fast. You do it by working more carefully to create good code from the start. And so saving lots of unnecessary time and effort correcting the fallout that your bad code caused later on. I wish that more of us techies believed that and defended that idea more strongly to misguided people pressuring us to cut corners.

2:08:48 - Jonas Lindberg Can I make one comment here? Because cutting corners simply doesn't work.

2:08:54 - Jonas Lindberg So he's arguing that creating this bad code, this hard to change code, is something that will directly affect the bottom line, down the line, because it's something that will have to be changed. But I'd argue having to change it and it affecting the bottom line is a great sign of its success. If your codes that you've wrote that's hard to change is used so much that you have to rewrite it, that's a great piece of code. And it's great that you've got it out there.

2:09:38 - Jorge Lewis I can see your point.

2:09:45 - Jonas Lindberg When you have the funds to do a massive rewrite, which affects the bulk of this thing that was created before, that was created in a hard-to-change way, that's a good thing, not a bad thing. If you are in the position where you have to change old code, yeah, that's a good thing, not a bad thing.

2:10:17 - Jonas Lindberg Because that means you're in Dora data.

2:10:25 - Jorge Lewis Says that teams that produce higher quality code are significantly more efficient overall, spending 44% more of their time.

2:10:34 - Jorge Lewis I wonder where this came from That has to be enterprises.

2:10:42 - Jorge Lewis Yeah.

2:10:45 - Jorge Lewis And it's interesting because this guy, whoever he is, saying this, you have to understand his audience are people like Chinmay, Biwas, and just people that, like programmers. And a majority of them don't work at enterprises. They work at, if it's a medium company, then sure. But if they're either doing their own projects or they're doing, they're working at a startup or at an agency as a freelancer, then this just does not apply to them. If anything, it's the opposite.

2:11:21 - Jorge Lewis I'm producing new features than teams that don't. 44%, that's a big win. Quality matters for commercial reasons because we go faster overall and we create better.

2:11:36 - Jorge Lewis Actually, I don't, how does that?

2:11:39 - Jorge Lewis 44% their time.

2:11:42 - Jorge Lewis How does this work? Like, so it's saying...

2:11:49 - Jonas Lindberg High-performing organizations, so yeah, enterprises. Done 22% less time on unplanned work than reworked as a result.

2:11:56 - Unidentified Speaker Yeah.

2:12:00 - Jorge Lewis I feel like this data, this is...

2:12:04 - Jonas Lindberg I feel like this is someone that implemented agile with their 25 meetings per week. And the actual work that's being done, yeah, it's always on like the task they planned, but the time they took to plan it is probably like a 200% like that's hidden from this graph because here they're only considering unplanned work and planned work. Also, if they were planning the work, if they included one more for like how much time is spent planning the work, I'd love to see that.

2:12:37 - Jorge Lewis It's okay. So there's also the big thing I think is reworking. When you're reworking, you're forgetting that it provided so much, it provided value like with, Like you're reworking it because it provided value, like going off your point. If it didn't provide value, we wouldn't be reworking it. But if it was perfect, so what would be the downside of making it perfect? Is you would risk spending time, well.

2:13:07 - Jonas Lindberg You only know what perfect is in the scenario where you have to rework it. That's when you have enough context to like properly do it.

2:13:15 - Unidentified Speaker Perfect.

2:13:17 - Jorge Lewis And that's when you're making things that have been done before. So, but like, that's when you're making things that have been done before and you have reference to that. So you're in an enterprise where you can refer to a bug that took 20 hours of somebody else's time to solve. And you can just look at their log, like their log that they took eight hours to make. But if you're in a startup looking at a stack overflow that someone spent two minutes writing, that's not going to help you make a perfect solution.

2:13:54 - Jorge Lewis So it's very applicable. Reworks are kind of necessary in smaller, in anything but enterprise or at least in anything innovative because you will not have, like whatever you're making has not been done to the T before. If it has then what are you doing? Then you're doing something like error handling which you should learn Right Yeah, like I mean if Okay, for example when for us we're storing our messages our AI messages on a database instead of caching them on a writer server or whatever If whatever we are making right now, this chatbot, this adapt, or this chatbot that relies heavily on long-term data where the time of day matters a lot, the number of sessions per day matters a lot, and et cetera, then we would just implement their solution. And we'd have kind of a perfect solution because they iterated on it so many times before.

2:15:03 - Jorge Lewis I'd say every case, that's not the case. You're either using a different stack, you have one feature that's different that affects the rest of it. So rework is almost always necessary at anything but enterprise level. At medium scale businesses, even there, even enterprise businesses, at most points you've reworked.

2:15:34 - Jorge Lewis like when you don't rework we're talking about like UI and like frontend and and like I don't know maybe I don't know what I'm talking about I'm producing new features than teams that don't 44%, that's a big win.

2:15:51 - Speaker 2 Quality matters for commercial reasons because we go faster overall and we create better quality code. So as software professionals, we have a professional duty of care to do a good job. This is not about self-indulgence or over-engineering. This is what we are paid to do, our professional duty of care to build software as efficiently as we can.

2:16:15 - Jorge Lewis To do that, we need So this was relying on the assumption that if you make better code, it'll save time in the long run, which is not the case for us.

2:16:26 - Jonas Lindberg Yeah. I kind of disagree with that. Like fundamentally coming back to my point, like if I, like if my employee wrote a piece of code that was so important that we have to rework it, that's great.

2:16:44 - Jonas Lindberg If that costs us time down the line, that means it made us enough money to where we're spending money on fixing it and making it better.

2:16:55 - Jorge Lewis Yeah. Like if REST didn't bring the value that it did, I wouldn't be working on it right now.

2:17:02 - Jonas Lindberg Yeah. I don't want an employee to spend more time than they have to on a piece of code, which could be from the trash or could be over optimized in some way. I want them to focus on the core value. Just implement that. Don't make it scalable. Don't make it clean. Don't make it in a way where we can improve on it. Just make it. If it works great, then we invest in it.

2:17:25 - Jorge Lewis And it's like for me, so, and also I think it's more enjoyable making things from again, rather than improving your, like Rather than improving something that was structured before you knew the end goal.

2:17:42 - Jonas Lindberg Or before you knew what it looked like in practice more accurately.

2:17:47 - Jorge Lewis Yeah.

2:17:49 - Jorge Lewis Need to build high quality software, not create crap quickly. Because if we optimize to build...

2:17:55 - Jorge Lewis I like crap quickly.

2:17:57 - Unidentified Speaker Yeah.

2:17:58 - Jonas Lindberg If it's working crap, that's so valuable, I need to rework it.

2:18:04 - Jorge Lewis If you make working crap, you're a good programmer. I think that's the title. If you make working crap, that you're a good programmer. A good programmer is someone that does the best for their time.

2:18:22 - Jorge Lewis Let me pause there and say thank you to everyone.

2:18:25 - Jorge Lewis I'm going to start saying that to everybody.

2:18:30 - Jonas Lindberg Not working, valuable. If you make crap so valuable, we have to rework it. That's it.

2:18:41 - Jorge Lewis But when you're saying valuable, it's so ambiguous. Working, it's more clear. Cause it's like, what does working mean? And this relies on them understanding what is the, like, what do we need from this whole system?

2:18:55 - Jonas Lindberg But you get what I'm saying?

2:18:58 - Jorge Lewis Yeah. Like we need, we don't, we don't need anything good.

2:19:02 - Jonas Lindberg We are extreme. You start the routine. I support void it. Here is chat. GPTs take on defining bad code. It's not perfect, but it's also not a bad summary either. So if bad code is hard to maintain.

2:19:22 - Jorge Lewis It's it's just these buckets are just.

2:19:28 - Jorge Lewis Like who made these buckets? Or who made who? Why is this unscalable code bad? It's not because like,

2:19:39 - Jonas Lindberg I mean, I'd agree with these, that these are the ones that are generally considered bad code though. What do you think about the security? Like if, if one of our employees coded something that like used, for example, server authenticated code on the front end, which just is impossible to use in production, but it's working and doing kind of the things it's supposed to. What do you think then?

2:20:11 - Jonas Lindberg Because it's very easy to speed up development of features by ignoring authentication as an example, by ignoring row-level security, by ignoring all those things.

2:20:29 - Jonas Lindberg That lets you ship a lot faster, or that lets you get to a point where the application is working and the ship will stay much faster. But it will be very insecure.

2:20:42 - Jonas Lindberg So you'll have to fix that before shipping to production.

2:20:57 - Jonas Lindberg Then clearly it isn't easy to change. If it has scalability issues, then it doesn't really work as it's meant to. And all of these other things also fall into my two categories of doing what it's meant to, and then being easy to change.

2:21:13 - Jonas Lindberg Which I think are the simple and more foundational...

2:21:18 - Jorge Lewis Yeah, like a lot of these... He's, he's, I feel like at this, this is the point of the video where experience doesn't do its job.

2:21:28 - Jonas Lindberg If it, like, if I need a feature, which is innovative, a feature, which hasn't been made before, and you make it work with like HTML, no CSS looks, I don't care. You made the feature work. We can improve upon it then. Like we know it works. We know it's valuable. We can improve upon it.

2:21:48 - Jonas Lindberg It's not, not doing its job.

2:21:53 - Jorge Lewis How about this? This whole title is wrong because what your code looks like has no correlation to how good a programmer you are.

2:22:06 - Jonas Lindberg I'd argue somewhat it does, because a lot of what dictates how your code looks like, it's just how much you know about the language. But at a certain point, it doesn't matter anymore. Like, do you know how to error handle? Yes, then it'll look better. No, then it'll look worse. And it'll dictate if you're good. But it's not the thing that dictates if you're good. It's just an indicator of experience for yourself.

2:22:32 - Jorge Lewis Yeah, like a good programmer knows error handling in general. A good programmer knows typing in general. So.

2:22:51 - Jorge Lewis Okay, for.

2:22:54 - Jorge Lewis You know, for example, like, Like so. Take REST as an example. I just got into Lanchain at that time and just got into, that was my first personal project for Install Kit. The code was terrible, but I would still say at that point I was a good programmer.

2:23:22 - Jorge Lewis My code looked like I was a first time TypeScript developer, but if you took someone that has been developing for 50 years, They could see the patterns of, oh, this guy understood this principle of this and this. So, yeah, I didn't do proper typing. I used any. I didn't use nulls. I used question marks. I didn't even try catches, though. Sorry, B-West.

2:23:53 - Jonas Lindberg This is a nitpick, but I disagree with the typing. I think that's just inexperienced with the language because no matter what I'm doing, I can do the typing properly because now I understand TypeScript typing so well that I can just like, I can get the LSP to tell me what I need to type like in two seconds. And then I type it and it makes me work faster because the intellisense helps me.

2:24:18 - Jorge Lewis But, but this, this, this statement saying if your code, is using any, you're a bad programmer. I wouldn't say I was a bad programmer, but I was using any.

2:24:28 - Jonas Lindberg I think it just indicates your experience with the specific programming language more so than if you're a good programmer or not.

2:24:38 - Jorge Lewis And it also depends at what experience level, how long you've been doing that, and if you're still doing the same things that you were doing a year ago. Like I stopped using any after that one project because I learned it since then. So it's like, for example, if you're using try and catch, if no one tells you to learn error handling, you will always use try and catch.

2:25:00 - Jonas Lindberg And more useful ideas. Fundamentally good code needs.

2:25:04 - Jonas Lindberg Oh, sorry. Go ahead.

2:25:05 - Jorge Lewis It just comes back to the point of how your experience affects the statement. Like if you're a junior engineer, I would say that. The code you make, if we make the same code as a junior and a senior, it's a whole different world. Because as a senior, I understand the principles going on behind everything. I'm trying catching so I can save this five minutes so that I can just see my output. You're trying catching because you don't know how to air handle. Or you don't know that there is air handling.

2:25:45 - Jorge Lewis At some point you want to learn things and to make your code better. You could say like error handling and using classes when you should and that just comes with experience. I'd argue against that one.

2:25:59 - Jonas Lindberg The using classes when you should, when to use classes over time. Functions and state and sub-stores, for example. I think that's just all opinion pieces. It's all going to be opinion pieces.

2:26:11 - Jorge Lewis No, that's what I just said. It's experience. You gain an intuitive feeling of, oh, I want to use a class here. Why? It feels better.

2:26:22 - Jonas Lindberg Maybe, but I think the arrow hunting is more set in stone. But the classes, I think it's almost going to be like, it'll flip back and forth depending on experience. You just start out, you don't even know classes or anything. You learn about classes, classes are great, always use classes. You learn when to use them, okay, never use classes. Then you learn object-oriented programming, use classes. Then you learn, oh, functional programming is a thing, never use classes. Then you just flip that. Error handling is like, when you learn it, now I can do it.

2:27:02 - Jorge Lewis Yeah, and then you always do it. Or at least you do it better every time. For me, the first time I did error handling, The first time I did error handling, I just checked if error. And then as I went on, I was like, okay, if error or if no data, okay, if error, then do this, like you just learn over time. Um, but like, for example, the, for the point of like, where things are just ambiguous, like when should I use a class? One of our team members working on, on, um, on a simulation feature, he was like, he used a recursive function over a for loop. So I asked him, we pseudocoded a for loop, why have you changed it to a recursive function? And he was like, hmm, we could do both. We could do a for loop. And I was like, yeah, we could. Why do you use a recursive function? He couldn't really come to an answer.

2:27:58 - Jorge Lewis In the actual scenario, I would say they're about even in terms of pros and cons. But it's just a matter of me, I would use a for loop. And I would say I'm more experienced than him. So you could say the better answer is a for loop. But at that point, I'm not helping him by saying you should use a for loop. I'm just saying, OK, cool. Why did you use a recursive function instead? And then he's trying to think it through for himself. And then I'm like, OK, cool. The next time he's working on something similar, he'll think again, oh Jorge asked me that one time, should I be using a recursive function or for loop?

2:28:34 - Jonas Lindberg I'm going to be honest, I've never ever made a recursive function outside of what's a recursive function.

2:28:44 - Unidentified Speaker I haven't either.

2:28:57 - Jonas Lindberg I've never made a recursive function like that. I think you can just achieve the same thing with a for loop and being smart about the flow state.

